return_id,order_id,product_id,customer_id,return_date,return_reason,refund_type,refund_amount,restocking_fee,condition_on_return,processed_by
RET0002113,ORD0080816,PRD0267,CUST011971,2024-05-20,Wrong Item Shipped,Partial Refund,2072.2,9.51,Fair,EMP0027
RET0002114,ORD0064420,PRD0175,CUST003311,2023-12-28,Changed Mind,Partial Refund,4575.21,14.76,Like New,EMP0028
RET0002115,ORD0066882,PRD0087,CUST000618,2024-07-16,Late Delivery,Exchange,123.32,13.34,Good,EMP0145
RET0002116,ORD0009037,PRD0089,CUST000721,2023-10-07,Damaged in Transit,Partial Refund,1988.52,7.21,Like New,EMP0009
RET0002117,ORD0015917,PRD0217,CUST007617,2024-09-17,Better Price Found,Partial Refund,1069.47,4.77,Poor,EMP0001
RET0002118,ORD0000306,PRD0011,CUST004124,2023-05-19,Changed Mind,Partial Refund,378.48,12.84,Poor,EMP0127
RET0002119,ORD0098455,PRD0485,CUST000858,2023-09-25,Changed Mind,Exchange,2464.7,4.48,Good,EMP0059
RET0002120,ORD0061822,PRD0245,CUST004297,2024-12-24,Better Price Found,Exchange,1951.45,10.6,Good,EMP0142
RET0002121,ORD0048613,PRD0170,CUST014420,2023-02-15,Not As Described,Partial Refund,4124.3,14.54,Good,EMP0120
RET0002122,ORD0090058,PRD0062,CUST012135,2023-04-01,Not As Described,Exchange,1174.1,8.21,Like New,EMP0039
RET0002123,ORD0026431,PRD0028,CUST018654,2023-06-25,Not As Described,Full Refund,658.82,1.81,Like New,EMP0050
RET0002124,ORD0003086,PRD0467,CUST013303,2023-10-27,Duplicate Order,Partial Refund,452.78,11.94,Like New,EMP0156
RET0002125,ORD0045294,PRD0053,CUST004223,2024-01-02,Not As Described,Partial Refund,3816.84,13.86,Like New,EMP0176
RET0002126,ORD0048973,PRD0384,CUST003498,2023-08-04,Wrong Item Shipped,Full Refund,17.09,11.51,Fair,EMP0017
RET0002127,ORD0064722,PRD0257,CUST012614,2024-03-08,Not As Described,Full Refund,2279.35,12.31,Like New,EMP0002
RET0002128,ORD0067504,PRD0161,CUST018453,2024-11-16,Defective Product,Full Refund,2878.37,8.21,Like New,EMP0193
RET0002129,ORD0001765,PRD0005,CUST001222,2023-06-18,Late Delivery,Exchange,1187.41,2.74,Good,EMP0149
RET0002130,ORD0083187,PRD0316,CUST008166,2024-04-13,Defective Product,Full Refund,257.65,5.9,Good,EMP0014
RET0002131,ORD0045457,PRD0253,CUST018401,2024-05-18,Wrong Item Shipped,Full Refund,1515.33,12.46,Fair,EMP0132
RET0002132,ORD0034239,PRD0175,CUST010811,2024-11-06,Wrong Item Shipped,Partial Refund,163.3,13.95,Fair,EMP0028
RET0002133,ORD0010149,PRD0212,CUST017034,2024-09-13,Duplicate Order,Exchange,6384.95,10.1,Like New,EMP0137
RET0002134,ORD0036992,PRD0382,CUST011781,2024-09-13,Duplicate Order,Exchange,2518.55,8.06,Like New,EMP0118
RET0002135,ORD0068459,PRD0056,CUST011722,2024-07-11,Duplicate Order,Full Refund,2329.64,11.08,Fair,EMP0094
RET0002136,ORD0058019,PRD0167,CUST016183,2024-12-16,Not As Described,Full Refund,4876.74,5.09,Like New,EMP0057
RET0002137,ORD0035004,PRD0054,CUST019900,2023-07-02,Late Delivery,Partial Refund,1108.07,8.28,Good,EMP0026
RET0002138,ORD0001562,PRD0260,CUST018664,2025-01-11,Duplicate Order,Exchange,1574.82,11.43,Good,EMP0073
RET0002139,ORD0042097,PRD0028,CUST008197,2023-07-31,Not As Described,Partial Refund,83.98,0.97,Like New,EMP0028
RET0002140,ORD0080959,PRD0019,CUST008130,2024-03-07,Changed Mind,Exchange,2192.54,6.88,Good,EMP0170
RET0002141,ORD0039488,PRD0331,CUST012638,2023-02-19,Wrong Item Shipped,Exchange,424.49,12.01,Good,EMP0102
RET0002142,ORD0087377,PRD0478,CUST003464,2024-11-05,Not As Described,Partial Refund,3752.14,3.58,Poor,EMP0118
RET0002143,ORD0007160,PRD0494,CUST007710,2023-08-22,Changed Mind,Partial Refund,5887.97,3.17,Like New,EMP0123
RET0002144,ORD0081027,PRD0176,CUST001671,2024-06-27,Defective Product,Partial Refund,181.71,2.35,Fair,EMP0030
RET0002145,ORD0085670,PRD0040,CUST002302,2023-08-29,Defective Product,Full Refund,118.88,10.09,Good,EMP0100
RET0002146,ORD0069823,PRD0093,CUST011570,2024-10-17,Changed Mind,Exchange,1303.45,11.9,Fair,EMP0096
RET0002147,ORD0076805,PRD0416,CUST000682,2023-08-07,Changed Mind,Exchange,818.67,14.46,Like New,EMP0109
RET0002148,ORD0013590,PRD0398,CUST014947,2024-02-15,Damaged in Transit,Exchange,695.71,13.97,Good,EMP0177
RET0002149,ORD0080081,PRD0041,CUST002415,2023-05-30,Defective Product,Exchange,3644.95,4.04,Fair,EMP0135
RET0002150,ORD0068992,PRD0469,CUST013878,2024-11-11,Not As Described,Full Refund,3594.05,0.33,Poor,EMP0090
RET0002151,ORD0008622,PRD0385,CUST002578,2023-06-21,Wrong Item Shipped,Partial Refund,4234.93,7.98,Fair,EMP0145
RET0002152,ORD0024176,PRD0159,CUST016150,2023-12-31,Changed Mind,Full Refund,3819.85,1.46,Fair,EMP0110
RET0002153,ORD0031516,PRD0044,CUST007084,2023-03-03,Wrong Item Shipped,Partial Refund,3922.34,5.17,Good,EMP0034
RET0002154,ORD0046604,PRD0135,CUST001856,2024-06-22,Better Price Found,Full Refund,363.67,8.08,Good,EMP0150
RET0002155,ORD0054940,PRD0464,CUST008509,2023-12-30,Changed Mind,Partial Refund,674.84,8.31,Good,EMP0106
RET0002156,ORD0065583,PRD0311,CUST007112,2024-08-27,Late Delivery,Full Refund,1952.66,5.54,Like New,EMP0076
RET0002157,ORD0003796,PRD0216,CUST012775,2024-09-23,Better Price Found,Partial Refund,108.65,5.68,Good,EMP0200
RET0002158,ORD0082819,PRD0335,CUST004193,2023-08-06,Better Price Found,Exchange,269.33,4.61,Damaged,EMP0182
RET0002159,ORD0087482,PRD0178,CUST000671,2024-03-01,Defective Product,Partial Refund,176.57,9.09,Good,EMP0107
RET0002160,ORD0012186,PRD0175,CUST017246,2023-06-11,Late Delivery,Exchange,6192.72,12.5,Like New,EMP0008
RET0002161,ORD0094747,PRD0411,CUST007835,2023-03-27,Defective Product,Full Refund,666.47,11.47,Damaged,EMP0058
RET0002162,ORD0022626,PRD0446,CUST016175,2024-09-18,Better Price Found,Full Refund,5993.67,11.7,Good,EMP0052
RET0002163,ORD0046964,PRD0073,CUST013571,2023-05-09,Better Price Found,Exchange,208.07,14.49,Like New,EMP0010
RET0002164,ORD0043823,PRD0344,CUST009006,2024-05-19,Late Delivery,Exchange,2480.37,2.05,Good,EMP0046
RET0002165,ORD0008651,PRD0378,CUST006434,2023-12-07,Defective Product,Exchange,4533.41,13.81,Like New,EMP0050
RET0002166,ORD0099183,PRD0340,CUST010653,2023-05-25,Not As Described,Full Refund,1945.07,6.29,Fair,EMP0183
RET0002167,ORD0046537,PRD0430,CUST013246,2023-12-22,Better Price Found,Full Refund,139.66,9.33,Like New,EMP0110
RET0002168,ORD0067684,PRD0299,CUST003307,2023-04-30,Wrong Item Shipped,Exchange,386.49,14.95,Like New,EMP0126
RET0002169,ORD0097944,PRD0457,CUST005290,2025-01-08,Changed Mind,Exchange,4548.63,2.46,Poor,EMP0041
RET0002170,ORD0003545,PRD0148,CUST015301,2023-06-17,Not As Described,Full Refund,90.55,5.74,Good,EMP0092
RET0002171,ORD0082274,PRD0179,CUST012366,2025-02-10,Duplicate Order,Partial Refund,3072.71,0.48,Fair,EMP0003
RET0002172,ORD0062267,PRD0300,CUST006915,2024-01-07,Late Delivery,Partial Refund,272.89,8.04,Good,EMP0093
RET0002173,ORD0049462,PRD0325,CUST010279,2023-11-25,Not As Described,Partial Refund,2996.86,7.36,Like New,EMP0028
RET0002174,ORD0068153,PRD0380,CUST007835,2024-07-06,Changed Mind,Exchange,880.47,9.28,Good,EMP0087
RET0002175,ORD0086231,PRD0266,CUST014862,2023-05-14,Damaged in Transit,Full Refund,1147.26,1.28,Fair,EMP0069
RET0002176,ORD0020443,PRD0154,CUST016204,2023-05-15,Not As Described,Full Refund,228.32,13.5,Good,EMP0002
RET0002177,ORD0022545,PRD0258,CUST014617,2024-12-09,Changed Mind,Partial Refund,2595.13,0.73,Fair,EMP0126
RET0002178,ORD0029370,PRD0208,CUST010422,2023-05-17,Defective Product,Exchange,915.1,12.55,Damaged,EMP0007
RET0002179,ORD0036985,PRD0405,CUST015778,2023-03-28,Wrong Item Shipped,Full Refund,413.67,9.93,Fair,EMP0099
RET0002180,ORD0035149,PRD0209,CUST016311,2023-10-07,Defective Product,Partial Refund,1161.6,5.31,Like New,EMP0004
RET0002181,ORD0036797,PRD0120,CUST015834,2023-03-03,Wrong Item Shipped,Exchange,1262.19,3.07,Good,EMP0074
RET0002182,ORD0007261,PRD0165,CUST018697,2023-02-15,Defective Product,Exchange,1907.34,13.8,Poor,EMP0169
RET0002183,ORD0022897,PRD0118,CUST001424,2023-06-14,Late Delivery,Full Refund,907.08,1.51,Like New,EMP0112
RET0002184,ORD0059487,PRD0487,CUST004942,2023-03-25,Duplicate Order,Exchange,577.48,11.28,Like New,EMP0185
RET0002185,ORD0092015,PRD0125,CUST014122,2023-10-29,Damaged in Transit,Exchange,1790.75,1.89,Fair,EMP0061
RET0002186,ORD0027297,PRD0171,CUST001514,2024-05-20,Changed Mind,Exchange,705.45,13.28,Like New,EMP0136
RET0002187,ORD0090464,PRD0325,CUST005604,2024-10-14,Duplicate Order,Full Refund,3648.53,12.23,Like New,EMP0050
RET0002188,ORD0055626,PRD0028,CUST014469,2024-05-23,Defective Product,Partial Refund,2970.96,0.95,Good,EMP0030
RET0002189,ORD0039268,PRD0003,CUST019712,2024-05-15,Defective Product,Exchange,1828.53,14.14,Like New,EMP0024
RET0002190,ORD0033904,PRD0452,CUST003182,2023-06-30,Better Price Found,Partial Refund,941.68,7.64,Fair,EMP0035
RET0002191,ORD0009072,PRD0383,CUST013593,2024-06-22,Changed Mind,Full Refund,4678.22,10.06,Good,EMP0099
RET0002192,ORD0070223,PRD0080,CUST016173,2023-03-11,Late Delivery,Partial Refund,458.88,14.49,Good,EMP0162
RET0002193,ORD0085392,PRD0203,CUST001735,2024-09-30,Damaged in Transit,Exchange,388.23,5.6,Good,EMP0084
RET0002194,ORD0092215,PRD0289,CUST018477,2023-06-20,Not As Described,Partial Refund,1365.95,0.91,Good,EMP0080
RET0002195,ORD0044589,PRD0275,CUST013433,2023-09-23,Wrong Item Shipped,Partial Refund,6724.24,0.22,Like New,EMP0073
RET0002196,ORD0085138,PRD0253,CUST004441,2024-11-09,Duplicate Order,Partial Refund,1937.99,9.54,Good,EMP0134
RET0002197,ORD0012016,PRD0457,CUST013757,2023-05-14,Changed Mind,Partial Refund,792.32,3.98,Like New,EMP0140
RET0002198,ORD0063112,PRD0055,CUST002919,2024-02-26,Not As Described,Full Refund,5122.98,12.97,Damaged,EMP0098
RET0002199,ORD0058247,PRD0469,CUST017444,2024-09-08,Wrong Item Shipped,Partial Refund,3651.44,0.04,Like New,EMP0087
RET0002200,ORD0066194,PRD0231,CUST004862,2024-08-22,Duplicate Order,Full Refund,951.41,14.52,Fair,EMP0133
RET0002201,ORD0095305,PRD0162,CUST010089,2024-07-27,Wrong Item Shipped,Partial Refund,1021.68,1.0,Fair,EMP0100
RET0002202,ORD0070004,PRD0437,CUST016262,2023-07-22,Changed Mind,Full Refund,975.5,0.82,Fair,EMP0136
RET0002203,ORD0031465,PRD0071,CUST012517,2025-01-11,Changed Mind,Partial Refund,2398.63,14.16,Fair,EMP0050
RET0002204,ORD0073123,PRD0455,CUST010583,2024-01-22,Duplicate Order,Exchange,2247.9,11.29,Like New,EMP0195
RET0002205,ORD0080824,PRD0006,CUST009759,2024-02-15,Better Price Found,Partial Refund,120.64,12.13,Like New,EMP0124
RET0002206,ORD0041784,PRD0108,CUST015265,2023-04-04,Better Price Found,Exchange,2941.81,4.18,Like New,EMP0165
RET0002207,ORD0038367,PRD0132,CUST007758,2023-11-02,Better Price Found,Partial Refund,693.34,6.7,Fair,EMP0075
RET0002208,ORD0074158,PRD0014,CUST002850,2024-12-16,Defective Product,Full Refund,108.26,6.72,Fair,EMP0185
RET0002209,ORD0029064,PRD0011,CUST018579,2023-05-19,Defective Product,Exchange,427.3,1.49,Fair,EMP0191
RET0002210,ORD0089614,PRD0175,CUST002294,2023-11-23,Wrong Item Shipped,Full Refund,4354.12,6.01,Fair,EMP0083
RET0002211,ORD0027917,PRD0109,CUST002533,2025-01-02,Wrong Item Shipped,Exchange,1440.44,4.31,Like New,EMP0032
RET0002212,ORD0034591,PRD0030,CUST014405,2024-10-30,Better Price Found,Partial Refund,1493.87,7.91,Like New,EMP0160
RET0002213,ORD0072549,PRD0329,CUST004057,2024-11-15,Wrong Item Shipped,Exchange,2510.49,13.67,Good,EMP0020
RET0002214,ORD0011712,PRD0030,CUST007729,2024-01-03,Better Price Found,Exchange,416.04,6.51,Like New,EMP0199
RET0002215,ORD0032835,PRD0258,CUST013201,2023-01-17,Damaged in Transit,Partial Refund,2957.27,10.28,Good,EMP0064
RET0002216,ORD0001547,PRD0307,CUST000835,2024-03-10,Late Delivery,Partial Refund,796.34,7.09,Like New,EMP0192
RET0002217,ORD0092609,PRD0050,CUST012245,2024-12-21,Better Price Found,Full Refund,2403.97,7.66,Good,EMP0062
RET0002218,ORD0057425,PRD0258,CUST012936,2024-07-31,Damaged in Transit,Full Refund,2802.94,8.43,Like New,EMP0144
RET0002219,ORD0005194,PRD0224,CUST015014,2023-07-15,Wrong Item Shipped,Full Refund,2433.48,12.8,Good,EMP0185
RET0002220,ORD0068969,PRD0314,CUST011336,2023-04-08,Better Price Found,Full Refund,2890.66,8.56,Damaged,EMP0008
RET0002221,ORD0008335,PRD0296,CUST001087,2024-08-01,Not As Described,Full Refund,1725.3,1.85,Good,EMP0110
RET0002222,ORD0013973,PRD0487,CUST005867,2023-10-12,Duplicate Order,Partial Refund,1551.11,5.35,Like New,EMP0110
RET0002223,ORD0003863,PRD0305,CUST009723,2024-07-26,Wrong Item Shipped,Full Refund,1864.77,9.71,Fair,EMP0025
RET0002224,ORD0015366,PRD0481,CUST002163,2025-01-02,Wrong Item Shipped,Exchange,1189.63,0.55,Poor,EMP0091
RET0002225,ORD0080212,PRD0157,CUST012301,2024-06-12,Duplicate Order,Partial Refund,1962.56,14.17,Like New,EMP0180
RET0002226,ORD0072457,PRD0273,CUST016731,2023-06-14,Changed Mind,Partial Refund,1343.37,7.13,Like New,EMP0021
RET0002227,ORD0083981,PRD0320,CUST005880,2024-05-22,Not As Described,Full Refund,413.71,8.71,Good,EMP0046
RET0002228,ORD0075290,PRD0386,CUST003427,2024-05-16,Better Price Found,Partial Refund,335.78,10.44,Like New,EMP0127
RET0002229,ORD0053085,PRD0326,CUST018747,2023-12-22,Defective Product,Exchange,2837.71,8.6,Like New,EMP0142
RET0002230,ORD0011585,PRD0288,CUST006164,2024-09-16,Wrong Item Shipped,Exchange,359.51,7.54,Like New,EMP0042
RET0002231,ORD0038344,PRD0215,CUST017872,2024-10-01,Duplicate Order,Exchange,343.1,9.72,Fair,EMP0144
RET0002232,ORD0001005,PRD0143,CUST009871,2024-07-13,Duplicate Order,Exchange,2748.17,11.31,Like New,EMP0172
RET0002233,ORD0048427,PRD0310,CUST004886,2024-06-15,Late Delivery,Partial Refund,1031.22,12.7,Fair,EMP0028
RET0002234,ORD0057255,PRD0003,CUST009568,2024-02-04,Better Price Found,Partial Refund,176.17,1.78,Good,EMP0194
RET0002235,ORD0025876,PRD0217,CUST000121,2023-01-23,Changed Mind,Partial Refund,3080.7,10.5,Good,EMP0050
RET0002236,ORD0084241,PRD0102,CUST016089,2024-09-19,Duplicate Order,Partial Refund,673.14,14.02,Like New,EMP0105
RET0002237,ORD0021565,PRD0442,CUST001570,2023-10-09,Damaged in Transit,Partial Refund,3401.85,0.71,Like New,EMP0043
RET0002238,ORD0059226,PRD0083,CUST005971,2024-07-21,Duplicate Order,Full Refund,1900.05,5.97,Good,EMP0005
RET0002239,ORD0026195,PRD0222,CUST001987,2023-07-04,Better Price Found,Full Refund,408.79,5.8,Good,EMP0059
RET0002240,ORD0065435,PRD0194,CUST002651,2023-12-14,Changed Mind,Full Refund,2623.94,12.28,Good,EMP0055
RET0002241,ORD0081850,PRD0288,CUST018411,2023-10-11,Wrong Item Shipped,Partial Refund,6198.19,3.12,Like New,EMP0153
RET0002242,ORD0018133,PRD0048,CUST004984,2024-12-14,Duplicate Order,Full Refund,1648.55,6.83,Like New,EMP0042
RET0002243,ORD0028768,PRD0492,CUST009712,2024-07-06,Wrong Item Shipped,Full Refund,271.77,2.9,Like New,EMP0145
RET0002244,ORD0019139,PRD0028,CUST005899,2023-04-24,Wrong Item Shipped,Full Refund,1694.24,1.95,Like New,EMP0146
RET0002245,ORD0098361,PRD0488,CUST016714,2023-04-23,Duplicate Order,Exchange,1307.74,1.43,Good,EMP0037
RET0002246,ORD0081709,PRD0139,CUST000259,2024-11-19,Defective Product,Full Refund,1337.67,2.81,Good,EMP0089
RET0002247,ORD0068717,PRD0153,CUST016908,2024-09-22,Changed Mind,Exchange,870.07,6.52,Fair,EMP0079
RET0002248,ORD0056060,PRD0115,CUST019959,2023-02-05,Late Delivery,Partial Refund,3190.77,8.01,Fair,EMP0047
RET0002249,ORD0060050,PRD0272,CUST013642,2023-01-25,Late Delivery,Full Refund,1577.46,4.29,Good,EMP0086
RET0002250,ORD0012775,PRD0197,CUST008750,2024-12-07,Duplicate Order,Exchange,226.89,9.46,Poor,EMP0037
RET0002251,ORD0055404,PRD0215,CUST002899,2024-09-12,Late Delivery,Full Refund,223.59,5.88,Fair,EMP0157
RET0002252,ORD0043210,PRD0131,CUST018947,2024-05-25,Late Delivery,Exchange,160.5,12.75,Good,EMP0130
RET0002253,ORD0065002,PRD0066,CUST010092,2024-05-26,Damaged in Transit,Full Refund,1621.23,4.74,Damaged,EMP0033
RET0002254,ORD0064048,PRD0482,CUST019729,2023-05-13,Changed Mind,Full Refund,799.3,12.81,Good,EMP0158
RET0002255,ORD0059973,PRD0308,CUST009410,2023-01-20,Defective Product,Full Refund,3411.52,8.29,Good,EMP0126
RET0002256,ORD0041857,PRD0489,CUST005562,2023-09-20,Duplicate Order,Exchange,3289.11,10.16,Good,EMP0070
RET0002257,ORD0036398,PRD0083,CUST007683,2025-01-30,Better Price Found,Exchange,3383.71,4.43,Fair,EMP0038
RET0002258,ORD0052145,PRD0325,CUST000989,2023-05-27,Late Delivery,Exchange,1947.2,7.74,Like New,EMP0066
RET0002259,ORD0073065,PRD0210,CUST002633,2024-06-18,Not As Described,Partial Refund,1565.07,7.77,Good,EMP0167
RET0002260,ORD0047733,PRD0479,CUST006767,2024-11-09,Defective Product,Full Refund,3604.79,7.29,Poor,EMP0107
RET0002261,ORD0059388,PRD0466,CUST001674,2023-03-17,Late Delivery,Partial Refund,670.33,5.25,Like New,EMP0182
RET0002262,ORD0047051,PRD0234,CUST014700,2023-10-31,Better Price Found,Full Refund,774.33,4.42,Poor,EMP0004
RET0002263,ORD0039308,PRD0459,CUST016340,2024-02-07,Defective Product,Exchange,2851.61,12.71,Like New,EMP0022
RET0002264,ORD0061274,PRD0498,CUST000860,2023-10-01,Defective Product,Full Refund,195.38,6.61,Like New,EMP0168
RET0002265,ORD0082111,PRD0038,CUST009398,2024-07-04,Not As Described,Full Refund,180.29,10.58,Good,EMP0163
RET0002266,ORD0098619,PRD0048,CUST018902,2024-12-04,Not As Described,Exchange,505.97,6.19,Poor,EMP0077
RET0002267,ORD0011830,PRD0061,CUST009237,2024-12-04,Not As Described,Exchange,394.43,4.12,Like New,EMP0154
RET0002268,ORD0048979,PRD0206,CUST013175,2023-12-18,Defective Product,Partial Refund,388.48,5.76,Poor,EMP0041
RET0002269,ORD0024858,PRD0272,CUST011809,2025-01-21,Defective Product,Partial Refund,992.49,8.48,Fair,EMP0082
RET0002270,ORD0029914,PRD0101,CUST016478,2023-08-28,Defective Product,Exchange,2869.28,8.88,Good,EMP0168
RET0002271,ORD0095005,PRD0057,CUST006790,2023-11-17,Wrong Item Shipped,Exchange,841.94,10.17,Like New,EMP0067
RET0002272,ORD0078233,PRD0193,CUST007395,2023-07-21,Late Delivery,Partial Refund,1776.58,4.86,Like New,EMP0198
RET0002273,ORD0075376,PRD0308,CUST019381,2023-01-23,Late Delivery,Full Refund,7040.06,10.45,Good,EMP0095
RET0002274,ORD0029660,PRD0122,CUST010910,2023-06-24,Better Price Found,Partial Refund,688.05,0.54,Like New,EMP0185
RET0002275,ORD0001620,PRD0446,CUST018097,2023-05-28,Defective Product,Partial Refund,3160.62,10.5,Fair,EMP0139
RET0002276,ORD0064935,PRD0222,CUST004636,2024-09-07,Defective Product,Full Refund,1127.7,14.08,Good,EMP0031
RET0002277,ORD0076589,PRD0263,CUST015296,2023-10-26,Wrong Item Shipped,Full Refund,85.73,5.76,Good,EMP0107
RET0002278,ORD0063559,PRD0369,CUST007439,2024-01-16,Duplicate Order,Partial Refund,1714.89,10.9,Like New,EMP0042
RET0002279,ORD0087367,PRD0416,CUST018424,2024-08-14,Not As Described,Exchange,3680.48,3.42,Good,EMP0086
RET0002280,ORD0094770,PRD0454,CUST012236,2023-12-10,Wrong Item Shipped,Exchange,245.44,2.48,Damaged,EMP0086
RET0002281,ORD0061432,PRD0361,CUST003075,2023-10-10,Duplicate Order,Exchange,362.01,2.49,Damaged,EMP0169
RET0002282,ORD0018080,PRD0172,CUST004888,2024-07-07,Late Delivery,Full Refund,186.14,1.16,Like New,EMP0051
RET0002283,ORD0006082,PRD0052,CUST014199,2023-12-04,Changed Mind,Full Refund,735.86,10.59,Good,EMP0146
RET0002284,ORD0083844,PRD0117,CUST006997,2024-04-06,Better Price Found,Partial Refund,1072.33,13.04,Poor,EMP0139
RET0002285,ORD0081921,PRD0205,CUST006748,2023-09-18,Not As Described,Partial Refund,2095.57,9.62,Like New,EMP0087
RET0002286,ORD0089369,PRD0446,CUST014023,2024-06-07,Changed Mind,Partial Refund,604.63,12.47,Like New,EMP0052
RET0002287,ORD0023048,PRD0338,CUST011389,2023-04-11,Better Price Found,Exchange,3340.61,3.58,Like New,EMP0044
RET0002288,ORD0075992,PRD0060,CUST009193,2024-02-16,Better Price Found,Partial Refund,5291.06,12.59,Good,EMP0074
RET0002289,ORD0072281,PRD0260,CUST009077,2024-09-26,Late Delivery,Partial Refund,5111.45,3.94,Good,EMP0057
RET0002290,ORD0097217,PRD0331,CUST012167,2024-03-23,Defective Product,Full Refund,79.38,5.91,Fair,EMP0181
RET0002291,ORD0082621,PRD0155,CUST004654,2024-10-17,Wrong Item Shipped,Full Refund,6452.0,1.16,Like New,EMP0040
RET0002292,ORD0027218,PRD0422,CUST017476,2023-12-26,Damaged in Transit,Partial Refund,1995.98,0.24,Poor,EMP0134
RET0002293,ORD0000238,PRD0277,CUST014130,2023-07-10,Changed Mind,Exchange,165.06,13.63,Good,EMP0023
RET0002294,ORD0039484,PRD0289,CUST012673,2023-02-17,Wrong Item Shipped,Exchange,2406.33,3.58,Like New,EMP0034
RET0002295,ORD0094761,PRD0315,CUST014142,2023-09-30,Late Delivery,Full Refund,1736.23,10.57,Good,EMP0131
RET0002296,ORD0095321,PRD0097,CUST003112,2023-02-18,Damaged in Transit,Exchange,3212.73,5.55,Good,EMP0163
RET0002297,ORD0096364,PRD0015,CUST014405,2023-06-28,Duplicate Order,Exchange,1213.93,1.58,Good,EMP0082
RET0002298,ORD0028927,PRD0259,CUST005701,2024-05-25,Late Delivery,Exchange,1046.64,2.28,Like New,EMP0013
RET0002299,ORD0069500,PRD0467,CUST009128,2023-02-13,Not As Described,Partial Refund,5716.32,7.63,Fair,EMP0001
RET0002300,ORD0007208,PRD0038,CUST007830,2024-02-01,Better Price Found,Partial Refund,239.14,4.78,Fair,EMP0164
RET0002301,ORD0087368,PRD0499,CUST002032,2024-03-23,Wrong Item Shipped,Full Refund,1450.58,3.05,Fair,EMP0122
RET0002302,ORD0061347,PRD0351,CUST003815,2023-09-26,Changed Mind,Partial Refund,355.38,1.68,Poor,EMP0156
RET0002303,ORD0039889,PRD0238,CUST013437,2023-07-11,Defective Product,Partial Refund,1962.37,8.85,Good,EMP0075
RET0002304,ORD0053662,PRD0358,CUST014409,2023-05-04,Damaged in Transit,Full Refund,168.14,2.98,Like New,EMP0148
RET0002305,ORD0005992,PRD0199,CUST018417,2024-01-15,Better Price Found,Exchange,1865.42,8.37,Like New,EMP0188
RET0002306,ORD0086687,PRD0253,CUST017671,2023-06-30,Defective Product,Full Refund,867.75,3.5,Good,EMP0039
RET0002307,ORD0032515,PRD0142,CUST011705,2024-01-02,Damaged in Transit,Exchange,5572.01,10.21,Like New,EMP0050
RET0002308,ORD0033634,PRD0298,CUST017205,2023-03-20,Damaged in Transit,Exchange,1707.23,14.81,Like New,EMP0112
RET0002309,ORD0072149,PRD0283,CUST018345,2023-01-27,Late Delivery,Partial Refund,499.73,11.86,Good,EMP0053
RET0002310,ORD0080860,PRD0195,CUST012519,2025-01-02,Changed Mind,Exchange,1066.91,1.48,Like New,EMP0093
RET0002311,ORD0049125,PRD0043,CUST016699,2024-05-15,Wrong Item Shipped,Partial Refund,286.62,5.2,Like New,EMP0139
RET0002312,ORD0013504,PRD0210,CUST017027,2023-08-23,Damaged in Transit,Exchange,4132.63,6.29,Good,EMP0053
RET0002313,ORD0023333,PRD0322,CUST003418,2023-12-30,Not As Described,Exchange,2303.96,14.36,Good,EMP0192
RET0002314,ORD0060978,PRD0134,CUST008188,2024-04-09,Changed Mind,Exchange,986.16,13.37,Good,EMP0113
RET0002315,ORD0065655,PRD0290,CUST001631,2023-03-14,Better Price Found,Exchange,1399.75,14.54,Good,EMP0132
RET0002316,ORD0057430,PRD0256,CUST006759,2023-08-10,Late Delivery,Full Refund,2200.69,12.41,Good,EMP0178
RET0002317,ORD0083339,PRD0246,CUST000377,2023-03-12,Defective Product,Full Refund,4407.61,9.12,Good,EMP0200
RET0002318,ORD0014500,PRD0254,CUST019783,2023-08-24,Damaged in Transit,Exchange,120.72,11.76,Like New,EMP0131
RET0002319,ORD0012118,PRD0231,CUST016425,2024-08-23,Defective Product,Partial Refund,3908.96,1.51,Poor,EMP0194
RET0002320,ORD0016533,PRD0039,CUST015202,2024-01-15,Damaged in Transit,Exchange,1008.5,5.52,Fair,EMP0017
RET0002321,ORD0019881,PRD0495,CUST003501,2023-05-10,Wrong Item Shipped,Exchange,3827.76,14.05,Fair,EMP0193
RET0002322,ORD0055363,PRD0313,CUST008400,2023-12-05,Defective Product,Full Refund,3653.61,8.63,Good,EMP0072
RET0002323,ORD0099284,PRD0487,CUST010008,2024-12-22,Not As Described,Exchange,1514.35,8.8,Good,EMP0043
RET0002324,ORD0080508,PRD0262,CUST007019,2024-09-14,Wrong Item Shipped,Exchange,3629.7,13.77,Damaged,EMP0019
RET0002325,ORD0010917,PRD0033,CUST011148,2024-11-15,Better Price Found,Full Refund,6510.52,4.79,Good,EMP0155
RET0002326,ORD0039685,PRD0155,CUST013069,2024-10-02,Changed Mind,Exchange,1333.77,3.16,Fair,EMP0041
RET0002327,ORD0022966,PRD0192,CUST002549,2024-04-17,Damaged in Transit,Partial Refund,633.81,7.67,Good,EMP0123
RET0002328,ORD0041400,PRD0495,CUST016496,2024-12-08,Better Price Found,Exchange,1810.28,5.21,Like New,EMP0130
RET0002329,ORD0034601,PRD0243,CUST015279,2024-02-20,Late Delivery,Full Refund,564.94,6.9,Poor,EMP0159
RET0002330,ORD0039043,PRD0303,CUST011701,2023-02-24,Late Delivery,Partial Refund,2062.82,6.41,Good,EMP0161
